objectid,filename,title,creator,editor,date,subject,description,source,identifier,format,language,rights,rightsstatement
coll1467,welty.jpeg,The Random House Treasury of Light Verse, ,Louis Phillips,1995,Poetry,"Inscription on front fly leaf page:
""For Miss Eudora Welty - /I treasure the gracious/letter you wrote me years/ago (1964) praising my/poem, 'The Natchez Trace,'/in 'Poetry,' August 1962,/and dedicated to you. It/is my most prized/possession!/Now see pages 145-146./You see, my love of The/South, and of your work,/has only deepened. And/we meet again - Randomly!/Marvin Solomon"" Note: The ribbon bookmark is at page 145.",Mississippi Department of Archives and History,W2005.1.1465,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1468,welty.jpeg,Eothen: A Classic of Travel in the Middle East,A.W. Kinglake, ,1970,Non-fiction,"Inscription on front fly leaf:
""Eudora Welty"" signature Note: Introduction by V.S. Pritchett.",Mississippi Department of Archives and History,W2005.1.1466,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1469,welty.jpeg,From an Antique Land: Ancient and Modern in the Middle East,Julian Huxley, ,1966,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1467,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1470,welty.jpeg,The Blue Nile,Alan Moorehead, ,1963,Non-fiction, Note: Loose between pages 312-313 and the front between the title page and the table of contents.,Mississippi Department of Archives and History,W2005.1.1468,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1471,welty.jpeg,The White Nile,Alan Moorehead, ,1960,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1469,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1472,welty.jpeg,The Romany Rye,George Borrow, ,1948,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1470,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1473,welty.jpeg,Early Christian Ireland,Máire and Liam de Paor de Paor, ,1958,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1471,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1474,welty.jpeg,Charles Darwin and the Voyage of the Beagle,Lady Nora Barlow, ,1946,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1472,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1475,welty.jpeg,The Western Island,Robin Flower, ,1945,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1473,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1476,welty.jpeg,The Oysters of Locmariaquer,Eleanor Clark, ,1966,Non-fiction," Note: Some unattached pages inside back cover between pages 164-165, pages 66-67, and 6-7.",Mississippi Department of Archives and History,W2005.1.1474,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1477,welty.jpeg,The Cities and Cemeteries of Etruria Volume Two,George Dennis, ,1907,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1475,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1478,welty.jpeg,The Travels of Marco Polo, ,Manuel Komroff,1936,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1476,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1479,welty.jpeg,Journey Without Maps,Graham Greene, ,"[1961, c1936]",Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1477,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1480,welty.jpeg,The Strange Ride of Rudyard Kipling: His Life and Works,Angus Wilson, ,"1979, c1977.",Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1478,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1481,welty.jpeg,The Ten Thousand Things,Maria Dermoût,Hans Koningsberger (translator) ,1958,Fiction, Note: Welty wrote a review for this book. It is featured on the back cover.,Mississippi Department of Archives and History,W2005.1.1479,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1482,welty.jpeg,Yesterday,Maria Dermoût,Hans Koningsberger (translator) ,1959,Non-fiction, Note: Translation of Nog pas gisteren.,Mississippi Department of Archives and History,W2005.1.1480,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1483,welty.jpeg,Victorian Tales of Mystery and Detection, ,(Selected by) Michael Cox,1992,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1481,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1484,welty.jpeg,Two Years in the French West Indies,Lafcadio Hearn, ,1923,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1482,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1485,welty.jpeg,Emperor of China: Self-Portrait of Kang-His,Johnathan D. Spence, ,1974,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1483,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1486,welty.jpeg,Sea and Sardinia,D.H. Lawrence, ,"1931, c1921",Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1484,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1487,welty.jpeg,Shadows of the Sun: The Diaries of Harry Crosby,Harry Crosby,Edward Germain,1977,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1485,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1488,welty.jpeg,Henry Moore: A Study of his Life and Work,Herbert Read, ,"[1966, c1965]",Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1486,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1489,welty.jpeg,Gothic England: A Survey of National Culture,John Harvey, ,1948,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1487,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1490,welty.jpeg,The Nude: A Study in Ideal Form,Kenneth Clark, ,1959 [c1956],Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1488,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1491,welty.jpeg,Italian Painters of the Renaissance,Bernard Berenson, ,1957,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1489,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1492,welty.jpeg,The Art Criticism of John Ruskin, ,Robert L. Herbert,1964,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1490,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1493,welty.jpeg,Praeterita: The Autobiography of John Ruskin,John Ruskin, ,1978,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1491,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1494,welty.jpeg,"The Diary of ""Helena Morley""",Helena Morley,Elizabeth Bishop,1991,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1492,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1495,welty.jpeg,The Bay at Nice and Wrecked Eggs,David Hare, ,1986,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1493,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1496,welty.jpeg,The Portrait of a Lady,Henry James, ,1951,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1494,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1497,welty.jpeg,Victorian Lady Travellers,Dorothy Middleton, ,,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1495,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1498,welty.jpeg,Crazy Like a Fox,S.J. Perelman, ,"1945, c1944",Humor, Note: ,Mississippi Department of Archives and History,W2005.1.1496,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1499,welty.jpeg,Keep it Crisp,S.J. Perelman, ,1946,Fiction," Note: Stories first published in ""The New Yorker"" and the ""Saturday evening post.""",Mississippi Department of Archives and History,W2005.1.1497,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1500,welty.jpeg,The Norton Book of Friendship (Uncorrected Proof), ,Eudora/ Ronald A. Welty/ Sharp,1991,Anthology, Note: ,Mississippi Department of Archives and History,W2005.1.1498,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1501,welty.jpeg,Tracks in the Snow,Ruthven Todd, ,1946,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1499,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1502,welty.jpeg,Wild Wales,George Borrow, ,19??,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1500,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1503,welty.jpeg,The Lives of the Painters Sculptors and Architects Volume 1,Giorgio Vasari, ,1963,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1501,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1504,welty.jpeg,"Sesame and Lilies, The Two Paths, The King of the Golden River",John Ruskin, ,1934,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1502,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1505,welty.jpeg,The Outlaw Years: The History of the Land Pirates of the Natchez Trace,Robert M. Coates, ,"[1986], c1930.",Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1503,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1506,welty.jpeg,Voices Against Tyranny: Writing of the Spanish Civil War - on the 50th anniversary of the event, ,John Miller,1976,Anthology, Note: ,Mississippi Department of Archives and History,W2005.1.1504,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1507,welty.jpeg,Victorian Novelists: Essays in Revaluation,David Cecil, ,"1961, c1958.",Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1505,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1508,welty.jpeg,"The Southern Quarterly Special Issue Stark Young 24, no. 4 (Summer 1986)", University of Southern Mississippi,Robert C. Peterson,1986,Periodical,"Inscription on title page:
""For Eudora Welty/with all good regards - /V.F. Gutendorf Jr./December 10th 1986"" Note: ",Mississippi Department of Archives and History,W2005.1.1506,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1509,welty.jpeg,"Twentieth Century Literature, E.M. Forster Issue 31, no. 2 and 3 (Summer/Fall 1985)", ,Mary Lago,1985,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.1507,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1510,welty.jpeg,"The Southern Review 22,  no. 2 (Spring 1986)", ,Lousiana State University ,1986,Periodical,"Written on front cover: 
""Reynolds Price/Interview""
Written upside down on last page: 
""$1/Meet the Press/Box 8486/NYC"" Note: ",Mississippi Department of Archives and History,W2005.1.1508,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1511,welty.jpeg,Sartre: Romantic Rationalist,Iris Murdoch, ,1959,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1509,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1512,welty.jpeg,A Giacometti Portrait,James Lord, ,1980,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1510,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1513,welty.jpeg,A Family Letter Written in Nineteen Thirty-Two,George Moser,Barry Moser (compiler) ,1979,Non-fiction,"Inscription on copy page:
""BM"" (compiler's initials) Note: George Moser to his nephew Arthur Moser & published by his great-nephew Barry Moser. ""One hundred and seventy-five copies ... were printed ... The types are Bruce Rogers' Centaur and Frederic Warde's Arrighi ... The paper is Gutenberg Laid ... The frontispiece is printed on handmade Kitakata ... no. 36""",Mississippi Department of Archives and History,W2005.1.1511,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1514,welty.jpeg,Thomas Jefferson's University, ,(Published by) Thomasson Grant,1987,,"Inscription inside front cover:
""For Eudora Welty,/with admiration & warmest regards./Marlene Elizabeth Heck/April 198 Note: ",Mississippi Department of Archives and History,W2005.1.1512,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1515,welty.jpeg,The Future of the Novel,Henry James, ,1956,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1513,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1516,welty.jpeg,The Myth of Sisyphus and Other Essays,Albert Camus,Justin O'Brien (translator) O'Brien,1955,Fiction, Note: Translation of Le mythe de Sisyphe.,Mississippi Department of Archives and History,W2005.1.1514,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1517,welty.jpeg,Et Nunc Manet In Te Suivi De Journal Intime,André Gide, ,"[1951, c1947]",Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1515,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1518,welty.jpeg,English Literature and Society in the Eighteenth Century,L. Stephen, ,1962,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1516,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1519,welty.jpeg,Bridges Burned,D. Edmond Miller, ,1988,Poetry, Note: ,Mississippi Department of Archives and History,W2005.1.1517,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1520,welty.jpeg,Realist of Distances: Flannery O'Conner Revisited, ,Karl-Heinz/ Jan Nordby Westarp/ Gretland,1987,Non-fiction,"Inscription on first fly leaf page:
""TO EUDORA WELTY/WITH RESPECT/AND ADMIRATION/JAN GRETLUND"" Note: Papers originally presented at a symposium held during August 1984 at Sønderborg, Denmark.",Mississippi Department of Archives and History,W2005.1.1518,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1521,welty.jpeg,"The Cast 22, no. 1337 (Sat., Feb. 20, 1932)", ,(Published by) H.P. Hanaford,1932,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.1519,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1522,welty.jpeg,The Sentimental Journey,Laurence Sterne, ,1898,Fiction,"Inscription on first fly leaf page:
""With New Year's/Greetings!/From Frank -/Jan. of 98"" Note: ",Mississippi Department of Archives and History,W2005.1.1520,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1523,welty.jpeg,Halloween Party,Agatha Christie, ,1970,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1521,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1524,welty.jpeg,Nothing Can Rescue Me,Elizabeth Daly, ,"1946, c1943.",Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1522,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1525,welty.jpeg,Party Going,Henry Green, ,1947,Fiction,"""Eudora Welty"" Note: ",Mississippi Department of Archives and History,W2005.1.1523,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1526,welty.jpeg,"Yearbook 1991-92, Annual Report 1990-91", ,"The Junior League of Jackson, MS ",1992,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1524,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1527,welty.jpeg,The House Without the Door,Elizabeth Daly, ,1984,Fiction,"Note on last fly leaf page:
""Mistie(?)/Sunday/aft/Fri. 11th PM/Liz's birthday"" Note: Loose between pages 2-3, 34-35.",Mississippi Department of Archives and History,W2005.1.1525,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1528,welty.jpeg,Travels in Arabia Deserta,Charles M. Doughtly, ,1955,Non-fiction,"Notes at the bottom of the last page:
""Eruption of Vesuvius, p. 122"" in red ink/""forming sand hills, p. 101"" in pencil Note: ",Mississippi Department of Archives and History,W2005.1.1526,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1529,welty.jpeg,An Early Christmas,Reynolds Price, ,1992,Fiction,"Inscription on first fly leaf page:
""For Eudora/with so much good/memory and a world/of love & hope/from/Reynolds/XII   92"" Note: Loose between pages 8-9.",Mississippi Department of Archives and History,W2005.1.1527,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1530,welty.jpeg,Fried Green Tomatoes at the Whistle Stop Café: A Novel,Fannie Flagg, ,1987,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1528,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1531,welty.jpeg,We Were Dreamers: A Memoir by the Co-anchor of the MacNeil/Lehrer Newhour,James Lehrer, ,"1986, c1975.",Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1529,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1532,welty.jpeg,Jefferson and Monticello: The Biography of a Builder,Jack McLaughlin, ,1988,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1530,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1533,welty.jpeg,My Mother's House and Sido,Colette , ,1953,Non-fiction,"Inscription inside front cover in script reads, ""Eudora Welty"". Note: ",Mississippi Department of Archives and History,W2005.1.1531,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1534,welty.jpeg,Memoirs of the Life of John Constable,C.R. Leslie, ,1980,Non-fiction, Note: Creases down front near spine where book has been opened; extremely loose on pages 234-241 and pages are beginning to pull out; starting on page 234 and ending on page 240 are red ink brackets on each page.,Mississippi Department of Archives and History,W2005.1.1532,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1535,welty.jpeg,Memories of Men and Women: American and British,A.L. Rowse, ,1983,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1533,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1536,welty.jpeg,The Faber Book of Parodies, ,Simon Brett,1984,Anthology, Note: ,Mississippi Department of Archives and History,W2005.1.1534,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1537,welty.jpeg,The Letters of Evelyn Waugh,Evelyn Waugh,Mark Amory,1980,Non-fiction," Note: Inscription on first fly leaf page:
""Eudora Welty"" signature.",Mississippi Department of Archives and History,W2005.1.1535,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1538,welty.jpeg,The Foreseeable Future,Reynolds Price, ,1991,Fiction,"Inscription on title page:
""For Eudora/with happy memories/& the best love/from/Reynolds/IV   91"" Note: ",Mississippi Department of Archives and History,W2005.1.1536,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1539,welty.jpeg,Love in the Ruins,Walker Percy, ,1971,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1537,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1540,welty.jpeg,France,Martain Hürlimann, ,1957,Photography, Note: ,Mississippi Department of Archives and History,W2005.1.1538,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1541,welty.jpeg,Irish Houses and Castles,Desmond/ William Guinness/ Ryan, ,1971,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1539,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1542,welty.jpeg,French Cathedrals,Martain Hürlimann, ,1951,Photography,"Inscription on inside front cover reads: ""To Eudora / Happy Birthday! / From / Mother / Apr 13, 1955"" Note: ",Mississippi Department of Archives and History,W2005.1.1540,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1543,welty.jpeg,Acqueforti Di Rembrandt,Andrea Carlo Coppier, ,1942,Art, Note: ,Mississippi Department of Archives and History,W2005.1.1541,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1544,welty.jpeg,"From the Lands of the Scythians: Ancient Treasures from the Museums of the U.S.S.R., 3000 B.C. - 100 B.C.", ,The Metropolitan Museum of Art ,1973/1974,Exhibition, Note: Pages 1-4 are unattached.,Mississippi Department of Archives and History,W2005.1.1542,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1545,welty.jpeg,Ghiberti's Bronze Doors,Richard Krautheimer, ,1971,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1543,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1546,welty.jpeg,Asia,Martain Hürlimann, ,1957,Photography, Note: ,Mississippi Department of Archives and History,W2005.1.1544,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1547,welty.jpeg,"Castles and Mansions, Bohemia and Moravia",Zdenek/ Jaroslav Wirth/ Benda, ,1955,, Note: ,Mississippi Department of Archives and History,W2005.1.1545,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1548,welty.jpeg,People of Kau,Leni Fiefenstahl,J. Maxwell Brownjohn (translator) Brownjohn,1976,Photography, Note: Translation of Die Nuba von Kau.,Mississippi Department of Archives and History,W2005.1.1546,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1549,welty.jpeg,Picture Book of Britain Vol. 1, ,Country Life Picture Book ,1953,Illustrations, Note: Stamp: Estate of Franklin Carmichael.,Mississippi Department of Archives and History,W2005.1.1547,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1550,welty.jpeg,Picture Book of Ireland, ,Country Life Picture Book ,1954,Illustrations, Note: ,Mississippi Department of Archives and History,W2005.1.1548,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1551,welty.jpeg,The Red Balloon,Albert Lamorisse, ,1957,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1549,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1552,welty.jpeg,London in Colour,James/ William Riddell/ Gaunt, ,1955,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1550,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1553,welty.jpeg,Five Plays,Moliére ,(Translated by) John Wood,1953,Drama, Note: ,Mississippi Department of Archives and History,W2005.1.1551,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1554,welty.jpeg,"Venezia: E La Sua Laguna, Milano 1947", ,Touring Club Italiano ,1947,," Note: Loose between pages 16-17, 30-31, 84-85, 98-99.",Mississippi Department of Archives and History,W2005.1.1552,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1555,welty.jpeg,Time Was Away: A Notebook in Corsica,Alan Ross, ,1948,Poetry, Note: ,Mississippi Department of Archives and History,W2005.1.1553,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1556,welty.jpeg,"Horizon 4, no. 2 (November 1961)", ,American Horizon Inc. ,1961,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.1554,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1557,welty.jpeg,"Horizon 2, no. 5 (May 1960)", ,American Horizon Inc. ,1960,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.1555,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1558,welty.jpeg,"Horizon 3, no. 1 (September 1960)", ,American Horizon Inc. ,1960,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.1556,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1559,welty.jpeg,"Horizon 3, no. 2 (November 1960)", ,American Horizon Inc. ,1960,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.1557,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1560,welty.jpeg,"Horizon 2, no. 3 (January 1960)", ,American Horizon Inc. ,1960,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.1558,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1561,welty.jpeg,"Horizon 12, no. 4 (Autumn 1971)", ,American Heritage Publishing ,1971,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.1559,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1562,welty.jpeg,"Horizon 3, no. 5 (May 1961)", ,American Horizon Inc. ,1961,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.1560,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1563,welty.jpeg,"Horizon 3, no. 6 (July 1961)", ,American Heritage Publishing ,1961,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.1561,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1564,welty.jpeg,"Horizon 2, no. 6 (July 1960)", ,American Horizon Inc. ,1960,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.1562,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1565,welty.jpeg,"Horizon 4, no. 1 (September 1961)", ,American Heritage Publishing ,1961,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.1563,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1566,welty.jpeg,"Horizon 13, no. 4 (Autumn 1971)", ,American Heritage Publishing ,1971,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.1564,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1567,welty.jpeg,"Horizon 3, no. 4 (March 1961)", ,American Horizon Inc. ,1961,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.1565,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1568,welty.jpeg,Man and Time,J.B. Priestley, ,1964,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1566,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1569,welty.jpeg,Africa,Emil Schulthess, ,1959 [c1958],Photography, Note: ,Mississippi Department of Archives and History,W2005.1.1567,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1570,welty.jpeg,Speeches of Adlai Stevenson, ,(Forward by) John Steinbeck,1952,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.1568,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll1571,welty.jpeg,The Booklover's Almanac, ,Robert Brittain,1986,Anthology,"Inscribed on first fly leaf page:
""To: Eudora Welty/Thank you for participating in/the Fourteenth Annual Faulkner/and Yoknapatawpha Conference./Your presence insures its/success./Gerald and Gail Turner/August 3, 1987"" Note: ",Mississippi Department of Archives and History,W2005.1.1569,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
